               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.022679,            0.022529,           0.0014855,             0.85739,             0.86901,             0.89908,             0.72402,            0.019813,            0.013577,          0.00077282,           0.0089209,           0.0089209,           0.0089209
                 111,            0.022753,             0.02308,           0.0015712,             0.87905,             0.86423,             0.90655,             0.73365,            0.019798,             0.01347,          0.00066993,            0.008911,            0.008911,            0.008911
                 112,            0.023054,            0.022926,           0.0016232,             0.87383,             0.86357,             0.90909,             0.73239,            0.019095,            0.013417,          0.00067273,           0.0089011,           0.0089011,           0.0089011
                 113,            0.022627,            0.022021,           0.0015718,             0.85573,             0.87025,             0.90423,             0.73662,            0.019021,            0.013477,          0.00068271,           0.0088912,           0.0088912,           0.0088912
                 114,            0.022827,            0.022276,           0.0015482,             0.86673,             0.86314,             0.90439,             0.73502,            0.019262,             0.01346,          0.00069665,           0.0088813,           0.0088813,           0.0088813
                 115,            0.022756,            0.022169,           0.0015537,             0.87263,             0.87659,             0.90849,             0.73774,            0.019323,            0.013321,          0.00062242,           0.0088714,           0.0088714,           0.0088714
                 116,            0.022589,            0.022021,            0.001468,             0.87047,             0.87742,              0.9063,             0.73283,            0.019345,            0.013317,          0.00069728,           0.0088615,           0.0088615,           0.0088615
                 117,            0.022456,             0.02209,           0.0015201,             0.88658,             0.85778,             0.90691,             0.73378,            0.019184,            0.013407,          0.00071458,           0.0088516,           0.0088516,           0.0088516
                 118,            0.022674,            0.022388,           0.0014525,             0.87451,             0.86771,             0.90339,              0.7332,            0.019484,            0.013474,          0.00095981,           0.0088417,           0.0088417,           0.0088417
                 119,            0.022057,            0.021664,           0.0014022,             0.85719,             0.87091,             0.89954,             0.73264,            0.019642,            0.013511,          0.00082907,           0.0088318,           0.0088318,           0.0088318
                 120,            0.022113,            0.022059,            0.001452,             0.85405,             0.87804,             0.90441,              0.7348,            0.019749,            0.013527,          0.00071273,           0.0088219,           0.0088219,           0.0088219
